date;home_team;away_team;home_score;away_score;round;
07/09/2019;290;275;1;2;18;
08/09/2019;341;315;2;0;18;
15/09/2019;284;290;3;0;19;
15/09/2019;282;285;1;3;19;
14/09/2019;354;263;0;0;19;
14/09/2019;275;283;1;0;19;
15/09/2019;276;341;1;1;19;
14/09/2019;262;277;1;0;19;
15/09/2019;266;264;1;0;19;
14/09/2019;315;267;1;2;19;
15/09/2019;265;356;1;1;19;
15/09/2019;293;314;0;1;19;
22/09/2019;285;315;1;0;20;
21/09/2019;283;262;1;2;20;
22/09/2019;356;275;0;1;20;
21/09/2019;264;265;2;1;20;
21/09/2019;277;284;0;3;20;
22/09/2019;267;293;1;1;20;
21/09/2019;263;276;1;2;20;
23/09/2019;314;282;1;0;20;
22/09/2019;290;266;3;0;20;
22/09/2019;341;354;1;0;20;
26/09/2019;284;314;6;1;21;
02/10/2019;282;267;1;2;22;
25/09/2019;354;283;0;0;21;
26/09/2019;275;341;6;2;21;
25/09/2019;276;290;0;1;21;
25/09/2019;262;285;3;1;21;
26/09/2019;266;277;1;1;21;
02/10/2019;315;264;0;1;22;
25/09/2019;265;263;2;0;21;
26/09/2019;293;356;4;1;21;
29/09/2019;285;275;1;1;22;
29/09/2019;282;354;2;1;22;
30/09/2019;356;263;1;0;22;
29/09/2019;264;267;1;0;22;
29/09/2019;277;341;2;0;22;
28/09/2019;262;276;0;0;22;
29/09/2019;266;284;2;1;22;
30/09/2019;314;265;0;2;22;
30/09/2019;290;283;1;0;22;
29/09/2019;293;315;1;1;22;
05/10/2019;284;264;0;0;23;
05/10/2019;283;285;1;1;23;
06/10/2019;354;290;0;1;23;
06/10/2019;275;282;1;1;23;
05/10/2019;276;356;2;1;23;
05/10/2019;267;277;0;1;23;
06/10/2019;263;266;0;1;23;
06/10/2019;315;262;0;1;23;
05/10/2019;265;293;1;2;23;
06/10/2019;341;314;3;1;23;
09/10/2019;284;354;2;1;24;
09/10/2019;283;266;0;0;24;
09/10/2019;356;315;2;0;24;
10/10/2019;264;293;2;2;24;
09/10/2019;277;275;2;0;24;
10/10/2019;262;282;3;1;24;
09/10/2019;263;290;3;1;24;
10/10/2019;314;267;0;0;24;
09/10/2019;265;276;0;0;24;
09/10/2019;341;285;1;0;24;
13/10/2019;285;277;0;0;25;
13/10/2019;282;284;1;4;25;
13/10/2019;354;314;1;0;25;
12/10/2019;275;263;1;0;25;
13/10/2019;276;264;1;0;25;
13/10/2019;267;356;1;0;25;
12/10/2019;266;265;2;0;25;
13/10/2019;315;283;1;1;25;
12/10/2019;290;341;1;0;25;
13/10/2019;293;262;0;2;25;
16/10/2019;284;265;0;1;26;
16/10/2019;283;276;1;0;26;
16/10/2019;356;262;1;2;26;
16/10/2019;275;315;1;0;26;
17/10/2019;277;354;2;1;26;
16/10/2019;267;263;2;1;26;
17/10/2019;266;293;1;2;26;
17/10/2019;314;285;0;2;26;
16/10/2019;290;264;2;2;26;
16/10/2019;341;282;2;2;26;
20/10/2019;285;267;0;1;27;
20/10/2019;282;277;2;0;27;
19/10/2019;356;284;2;1;27;
19/10/2019;264;283;1;2;27;
20/10/2019;276;314;1;0;27;
20/10/2019;262;266;2;0;27;
21/10/2019;263;341;2;1;27;
20/10/2019;315;290;2;2;27;
21/10/2019;265;354;1;2;27;
20/10/2019;293;275;1;1;27;
27/10/2019;284;263;3;0;28;
26/10/2019;283;356;1;1;28;
26/10/2019;354;267;1;1;28;
26/10/2019;264;277;0;0;28;
27/10/2019;276;282;2;0;28;
27/10/2019;262;341;1;0;28;
26/10/2019;266;315;1;1;28;
27/10/2019;314;275;1;2;28;
26/10/2019;265;285;2;3;28;
27/10/2019;293;290;4;1;28;
31/10/2019;285;293;1;1;29;
30/10/2019;282;315;0;2;29;
30/10/2019;354;266;2;0;29;
30/10/2019;275;276;3;0;29;
31/10/2019;277;265;1;0;29;
30/10/2019;267;284;1;3;29;
31/10/2019;263;283;0;2;29;
30/10/2019;314;356;1;3;29;
31/10/2019;290;262;2;2;29;
30/10/2019;341;264;2;1;29;
03/11/2019;284;285;2;0;30;
03/11/2019;283;265;1;1;30;
02/11/2019;356;282;2;2;30;
02/11/2019;275;354;1;0;30;
